carrier,freq,cid,count
310260,1125,43,105876
310260,1125,96,32754
310260,1125,487,8788
310260,66786,43,178019
310260,66786,96,37240
310260,66786,487,4666
310260,5035,43,24506
310260,5035,96,10337
310260,66786,42,5941
310260,126510,317,2515
310260,43,1125,1202
310260,126510,311,6670
310260,43,5035,1401
310260,126510,203,5630
310260,66786,97,3083
310260,487,2300,65
310260,487,47090,94
310260,487,47291,90
310260,47090,487,13492
310260,47291,487,13458
310260,2300,487,12000
310260,2300,43,55289
310260,2300,96,21377
310260,2300,42,2537
310260,47291,489,5734
310260,2300,97,3014
310260,2300,490,13624
310260,47291,490,10577
310260,43,2300,165
310260,2300,486,1094
310260,1125,490,7873
310260,2300,443,44908
310260,1125,443,128530
310260,5035,443,29503
310260,1125,206,166249
310260,2300,206,45334
310260,2300,494,5035
310260,1125,494,20531
310260,1125,137,129
310260,2300,28,500
310260,206,66786,298
310260,206,1125,1293
310260,66786,206,175987
310260,66786,205,13022
310260,66786,482,32210
310260,66786,481,13656
310260,66786,44,21383
310260,66786,379,55
310260,66786,356,568
310260,66786,94,40
310260,1125,482,25437
310260,1125,44,7763
310260,126510,160,1089
310260,5035,293,7507
310260,66786,495,32691
310260,66786,443,154295
310260,1125,495,16777
310260,495,66786,111
310260,495,1125,122
310260,66786,293,99117
310260,443,66786,394
310260,443,1125,1114
310260,443,5035,612
310260,1125,293,64178
310260,1125,279,109012
310260,1125,264,132
310260,1125,319,47503
310260,1125,496,9578
310260,66786,442,6539
310260,66786,496,15665
310260,66786,279,130037
310260,66786,441,8833
310260,496,66786,37
310260,496,1125,140
310260,66786,493,24391
310260,1125,493,14400
310260,126510,87,897
310260,66786,319,50987
310260,126510,74,1448
310260,66786,320,5119
310260,66786,74,38403
310260,319,66786,127
310260,319,1125,338
310260,319,5035,162
310260,5035,319,11685
310260,1125,67,324
310260,1125,125,96
310260,66786,280,5633
310260,1125,292,1899
310260,66786,469,2885
310260,66786,468,58301
310260,126510,234,4213
310260,1125,234,54509
310260,1125,74,16780
310260,1125,311,43208
310260,66786,317,9467
310260,66786,40,3598
310260,74,66786,46
310260,74,1125,111
310260,74,68886,60
310260,68886,74,3334
310260,512190,74,156
310260,1125,40,2472
310260,66786,234,38965
310260,66786,72,1107
310260,1125,468,25230
310260,66786,470,1146
310260,66786,315,120
310260,468,66786,99
310260,468,1125,435
310260,1125,87,20357
310260,66786,87,28164
310260,493,66786,60
310260,493,1125,153
310260,126510,62,1196
310260,66786,89,2440
310260,66786,88,1440
310260,66786,494,24600
310260,66786,492,507
310260,1125,173,1055
310260,66786,292,3720
310260,66786,497,4048
310260,126510,386,48
310260,126510,429,107
310260,66786,29,3230
310260,1125,212,110
310260,126510,190,422
310260,43,66786,352
310260,126510,159,105
310260,96,66786,104
310260,96,1125,627
310260,96,5035,343
310260,1125,489,3606
310260,66786,489,1041
310260,66786,486,187
310260,66786,414,29
310260,66786,490,4127
310260,2300,489,5705
310260,47090,489,5802
310260,2300,420,31
310260,47090,490,10672
310260,489,2300,17
310260,489,47090,27
310260,489,47291,25
310260,96,2300,43
310260,490,2300,51
