carrier,serving_cellset,count
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-68886/203-5035/203-1125/203-68886/203-5035,1
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125,1
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886,1
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035,1
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-68886,1
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-68886/203-5035,1
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-68886/203-5035/203-1125,1
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-68886/203-5035/203-1125/203-68886,1
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-68886/203-5035/203-1125/203-68886/203-5035,1
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125,1
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886,1
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035/203-68886/203-5035/203-1125/203-68886/203-5035/203-1125/203-68886/203-5035,1
310260,443-2300/443-1125/443-5035,29
310260,443-2300/443-1125/443-5035/443-1125,4
310260,443-2300/443-1125/443-5035/443-1125/443-5035,1
310260,443-2300/443-1125/443-5035/443-1125/443-5035/443-1125,1
310260,443-2300/443-1125/443-5035/443-1125/443-5035/443-1125/443-5035,1
310260,494-2300/494-1125,8
310260,126510-317/96-1125,53
310260,126510-317/96-1125/96-5035,51
310260,126510-160/96-1125,11
310260,126510-160/43-1125,18
310260,126510-203/96-1125/96-5035,56
310260,126510-311/96-1125,40
310260,126510-62/96-1125,80
310260,43-66786,40
310260,126510-429/43-1125,16
310260,126510-429/43-1125/43-5035,13
310260,482-66786/482-1125,104
310260,480-66786/480-1125,87
310260,481-66786/481-1125,35
310260,279-66786/279-1125/279-5035,193
310260,126510-311/279-1125,131
310260,234-66786/234-1125/234-68886,41
310260,512190-234/234-1125,20
310260,234-66786/234-1125/234-68886/234-5035,10
310260,126510-311/234-1125,11
310260,126510-234/43-1125,38
310260,477-2300/477-1125,58
310260,279-66786,34
310260,126510-234/279-1125,117
310260,126510-234/443-1125,123
310260,126510-234,73
310260,203-66786/203-1125/203-68886,95
310260,126510-203/203-1125,95
310260,126510-160/443-1125,22
310260,126510-160/443-1125/443-5035,14
310260,463-66786/463-5035,98
310260,126510-203,153
310260,126510-234/463-5035,19
310260,126510-234/203-1125,13
310260,126510-203/203-68886,22
310260,126510-203/443-1125,130
310260,126510-203/443-5035,8
310260,126510-311,41
310260,126510-311/463-5035,6
310260,203-66786/203-1125/203-68886/203-5035,4
310260,126510-234/43-5035,1
310260,482-1125/482-2300,19
310260,443-1125/443-2300/443-5035,53
310260,126510-317/443-66786,6
310260,126510-317/443-2300/443-5035,5
310260,126510-203/443-66786,16
310260,126510-311/443-66786,20
310260,126510-74/443-66786,5
310260,319-1125/319-2300/319-5035,18
310260,126510-74/319-66786,21
310260,74-1125/74-2300/74-68886,4
310260,512190-74/74-66786,4
310260,496-1125/496-2300,4
310260,126510-311/496-66786,5
310260,126510-311/496-2300,2
310260,126510-87/496-66786,4
310260,126510-311/443-2300/443-5035,4
310260,495-1125/495-2300,10
310260,206-1125/206-2300/43-5035,31
310260,126510-311/206-66786,8
310260,126510-311/206-2300/43-5035,2
310260,126510-203/206-66786,10
310260,43-1125/43-2300/43-5035,27
310260,126510-203/43-66786,52
310260,126510-311/43-66786,19
310260,126510-311/43-2300/43-5035,11
310260,126510-203/43-2300/43-5035,29
310260,126510-317/43-66786,11
310260,126510-317/43-2300/43-5035,7
310260,487-1125/487-47090/487-47291/487-66786,9
310260,487-1125/487-47090/487-47291/487-66786/487-47090,4
310260,126510-234/43-66786,9
310260,126510-234/43-2300/43-5035,1
310260,126510-160/43-66786,2
310260,126510-160/43-2300/43-5035,2
310260,126510-87/206-66786,1
310260,126510-62/206-66786,2
310260,126510-62/206-2300/43-5035,2
310260,126510-190/206-66786,1
310260,493-1125/493-2300,5
310260,126510-87/493-66786,4
310260,126510-74/206-66786,4
310260,468-1125/468-2300,6
310260,126510-74/468-66786,4
310260,319-66786,8
310260,126510-311/319-1125,29
310260,126510-74/293-1125,4
310260,512190-87/190-1125,10
310260,126510-62/96-1125/96-5035,61
310260,401-2300/401-1125,13
310260,126510-190/468-1125,105
310260,126510-62/468-1125,36
310260,126510-87/319-1125,3
310260,126510-87/443-1125,6
310260,494-66786/494-1125,48
310260,126510-234/43-1125/43-5035,18
310260,126510-203/43-1125/43-5035,101
310260,512190-234/74-1125,14
310260,126510-40/319-1125,2
310260,126510-203/279-1125,39
310260,180-8665,4
310260,180-8665/203-1125/203-68886,2
310260,126510-160/203-1125,16
310260,126510-160/203-68886,12
310260,311-66786,7
310260,311-66786/311-1125/311-68886,43
310260,512190-311/311-1125,33
310260,476-2300/476-1125,57
310260,279-2300/279-1125/279-5035,105
310260,311-2300/311-1125/311-68886,71
310260,279-2300/279-1125/279-5035/279-5035,3
310260,234-2300/234-1125/234-68886,55
310260,469-2300/469-1125,70
310260,480-2300/480-1125,29
310260,206-2300/206-1125/43-5035,12
310260,481-2300/481-1125,15
310260,126510-317/279-1125,18
310260,126510-317/279-1125/279-5035,8
310260,126510-307/279-1125,1
310260,126510-307/279-1125/279-5035,1
310260,126510-234/206-1125,31
310260,234-2300/234-1125/234-5035,2
310260,319-2300/319-1125/319-5035,14
310260,74-2300/74-1125/74-68886,10
310260,126510-234/203-68886,8
310260,482-66786,1
310260,126510-74/279-1125,6
310260,206-66786,13
310260,126510-160/203-1125/160-1125/160-68886,1
310260,512190-234/160-1125,2
310260,126510-203/443-1125/443-5035,27
310260,126510-317/443-1125,49
310260,126510-234/443-1125/443-5035,39
310260,126510-62/443-1125,18
310260,126510-62/443-1125/443-5035,12
310260,126510-317/443-1125/443-5035,28
310260,126510-62/206-1125/43-5035,36
310260,126510-87/206-1125,23
310260,126510-311/493-1125,10
310260,512190-87/87-1125/443-1125/443-5035,2
310260,468-66786,8
310260,126510-311/293-1125,63
310260,126510-317/293-1125,14
310260,126510-62/43-1125,8
310260,126510-62/43-1125/43-5035,6
310260,443-66786,25
310260,126510-234/279-1125/279-5035,21
310260,126510-62/494-1125,26
310260,126510-87/494-1125,22
310260,512190-190/62-1125,5
310260,126510-141/43-1125,17
310260,126510-141/43-1125/43-5035,16
310260,126510-317/43-1125/43-5035,43
310260,463-5035/463-2300,23
310260,160-1125/160-2300/160-5035,1
310260,126510-203/160-66786,2
310260,203-1125/203-2300/203-68886,23
310260,126510-160/203-66786,3
310260,126510-160/203-2300/203-68886,3
310260,126510-160/203-2300/203-68886/203-5035,1
310260,126510-203/203-66786,23
310260,160-1125/160-2300/160-68886,2
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-1125,1
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-1125/203-1125,1
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-1125/203-1125/203-1125,1
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-1125/203-1125/203-1125/203-5035,1
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-1125/203-1125/203-1125/203-5035/203-1125,1
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-1125/203-1125/203-1125/203-5035/203-1125/203-68886,1
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-1125/203-1125/203-1125/203-5035/203-1125/203-68886/203-1125,1
310260,203-2300/203-1125/203-68886/203-5035/203-1125/203-68886/203-1125/203-1125/203-1125/203-5035/203-1125/203-68886/203-1125/203-5035,1
310260,203-5035/203-2300/203-1125,27
310260,203-68886/203-2300/203-1125,27
310260,317-68886/317-2300/317-1125,2
310260,234-68886/234-2300/234-1125,3
310260,443-66786/443-1125/443-5035/443-1125,3
310260,443-66786/443-1125/443-5035/443-1125/443-1125,1
310260,126510-203/279-1125/279-5035,7
310260,126510-317/319-1125,11
310260,126510-317/319-1125/319-5035,10
310260,126510-160/279-1125,3
310260,234-66786/234-1125/234-5035,2
310260,126510-160,15
310260,126510-160/203-1125/203-68886,12
310260,126510-234/206-1125/43-5035,13
310260,481-66786/481-1125/482-1125,1
310260,126510-234/443-5035,2
310260,126510-203/463-5035,33
310260,126510-203/203-1125/203-68886,7
310260,62-66786,7
310260,126510-311/468-1125,33
310260,126510-160/468-1125,2
310260,126510-190/468-1125/121-1125,1
310260,441-66786/441-1125,2
310260,441-66786/441-1125/319-1125/319-5035,1
310260,126510-311/443-1125/443-5035,30
310260,480-1125/480-2300,25
310260,311-1125/311-2300/311-68886,23
310260,311-1125/311-2300/311-68886/311-5035,8
310260,512190-311/311-66786,17
310260,126510-317/206-66786,3
310260,126510-317/206-2300/43-5035,2
310260,126510-234/206-66786,10
310260,234-1125/234-2300/234-68886,22
310260,512190-234/234-66786,10
310260,126510-234/443-66786,17
310260,481-1125/481-2300,17
310260,400-1125/400-2300,12
310260,126510-87/96-1125,17
310260,126510-87/96-1125/96-5035,15
310260,126510-234/319-66786,16
310260,279-1125/279-2300/279-5035,38
310260,126510-234/279-66786,27
310260,126510-203/43-2300,6
310260,126510-74/43-66786,1
310260,126510-74/43-2300,1
310260,126510-234/43-2300,3
310260,487-1125/487-47090/487-47291/487-66786/487-47291,2
310260,487-1125/487-47090/487-47291/487-66786/487-47291/487-47090,1
310260,126510-87/496-2300,1
310260,126510-62/443-66786,1
310260,126510-190/206-1125,24
310260,126510-87/206-1125/43-5035,8
310260,126510-386/206-1125/43-5035,6
310260,126510-159/206-1125,6
310260,126510-160/96-1125/96-5035,3
310260,487-2300/487-47291/487-47090,3
310260,126510-87/293-1125,14
310260,120-66786/120-1125,7
310260,512190-190/74-1125,1
310260,490-2300/490-47090/490-47291/490-47090,2
310260,279-5035,1
310260,279-5035/279-2300/279-1125,9
310260,234-66786,13
310260,311-68886/311-2300/311-1125,7
310260,126510-311/279-66786,24
310260,126510-234/206-2300/43-5035,5
310260,293-1125/293-2300/293-5035,4
310260,126510-311/293-66786,2
310260,126510-311/293-2300/293-5035,1
310260,126510-62/293-66786,5
310260,62-1125/62-2300/62-68886,5
310260,512190-62/62-66786,5
310260,399-1125/399-2300,6
310260,122-1125/122-2300,4
310260,494-66786,7
310260,476-2300,1
310260,477-2300,2
310260,311-2300/311-1125/311-68886/311-5035,13
310260,234-2300/234-1125/234-68886/234-5035,18
310260,126510-311/319-1125/319-5035,10
310260,126510-190/206-1125/43-5035,20
310260,40-66786/40-1125/40-68886,2
310260,512190-74/40-1125,1
310260,512190-40/40-1125,2
310260,512190-40/234-1125,2
310260,307-1125/307-2300/307-68886,2
310260,459-1125/459-2300,2
310260,126510-307/459-66786,1
310260,126510-13/459-66786,1
310260,512190-307,1
310260,126510-234/459-66786,1
310260,126510-234/459-2300,1
310260,441-8665,1
310260,441-8665/305-2300/305-1125,1
310260,100-68886/100-2300/100-1125,1
310260,100-1125/100-2300/100-68886,1
310260,516270-100/100-66786,1
310260,516270-100/100-66786/186-1125/186-68886,1
310260,512190-186/186-1125,1
310260,512190-186/186-1125/186-68886,1
310260,512190-353/186-1125,1
310260,512190-353/186-1125/186-68886,1
310260,512190-410/186-1125,1
310260,410-66786/410-1125/410-68886,1
310260,512190-410/410-1125,1
310260,1-2300/1-1125,1
310260,477-2300/0-1125,1
310260,410-2300/410-1125/410-68886,1
310260,410-2300/410-1125/410-68886/410-5035,1
310260,126510-190/293-1125,3
310260,512190-311/311-1125/311-68886,1
310260,512190-234/311-1125,10
310260,477-2300/477-1125/311-1125/311-68886,1
310260,126510-190/493-1125,8
310260,126510-62/293-1125/293-5035,21
310260,311-66786/311-1125/311-68886/311-5035,2
310260,512190-234/234-68886,2
310260,512190-234/234-68886/234-5035,1
310260,243-8665,11
310260,243-8665/463-5035,4
310260,160-68886,3
310260,160-68886/160-2300/160-1125,7
310260,443-5035/443-2300/443-1125,7
310260,243-8665/43-1125/43-5035,3
310260,126510-160/43-1125/43-5035,16
310260,126510-311/96-1125/96-5035,28
310260,126510-140/96-1125,2
310260,126510-140/96-1125/96-5035,2
310260,443-66786/443-1125/443-5035/206-1125/43-5035,1
310260,126510-141/206-1125,8
310260,126510-141/206-1125/43-5035,8
310260,126510-203/43-5035,7
310260,126510-203/43-5035/43-1125,1
310260,126510-203/43-5035/43-1125/43-5035,1
310260,126510-203/43-5035/43-1125/43-5035/43-1125,1
310260,126510-203/43-5035/43-1125/43-5035/43-1125/43-5035,1
310260,126510-203/203-68886/203-5035,2
310260,243-8763,2
310260,243-8763/243-8665,2
310260,463-5035,1
310260,463-5035/203-1125/203-68886,1
310260,243-8665/203-1125/203-68886,2
310260,243-8665/203-1125/203-68886/203-5035,1
310260,126510-311/443-2300,1
310260,482-2300/482-1125,10
310260,126510-317,9
310260,476-1125/476-2300,15
310260,477-1125/477-2300,9
310260,469-1125/469-2300,9
310260,512190-234/311-66786,5
310260,512190-234/311-2300,2
310260,482-66786/482-1125/43-1125/43-5035,1
310260,126510-74/279-1125/279-5035,4
310260,279-2300/279-1125/279-5035/279-1125,7
310260,279-2300/279-1125/279-5035/279-1125/279-1125,1
310260,279-2300/279-1125/279-5035/279-1125/279-1125/279-5035,1
310260,279-2300/279-1125/279-5035/279-1125/279-1125/279-5035/279-1125,1
310260,279-2300/279-1125/279-5035/279-1125/279-1125/279-5035/279-1125/279-5035,1
310260,279-2300/279-1125/279-5035/279-1125/279-1125/279-5035/279-1125/279-5035/279-1125,1
310260,279-2300/279-1125/279-5035/279-1125/279-1125/279-5035/279-1125/279-5035/279-1125/279-5035,1
