carrier,freq,cid,count
310260,317,126510,493
310260,311,126510,1261
310260,203,126510,1431
310260,2300,487,65
310260,2300,43,74
310260,66786,206,258
310260,160,126510,221
310260,66786,495,111
310260,66786,443,326
310260,66786,496,28
310260,87,126510,327
310260,74,126510,341
310260,66786,319,86
310260,234,126510,681
310260,66786,74,42
310260,74,512190,51
310260,66786,468,88
310260,66786,493,54
310260,62,126510,495
310260,386,126510,15
310260,429,126510,55
310260,66786,43,257
310260,159,126510,46
310260,66786,96,97
310260,2300,489,17
310260,2300,96,37
310260,2300,490,51
310260,66786,293,101
310260,66786,400,57
310260,66786,62,75
310260,62,512190,88
310260,66786,87,50
310260,87,512190,74
310260,190,512190,73
310260,66786,190,48
310260,66786,121,30
310260,66786,122,45
310260,66786,399,55
310260,66786,401,26
310260,2300,463,21
310260,2300,203,190
310260,2300,443,36
310260,2300,494,9
310260,66786,482,107
310260,66786,480,88
310260,66786,481,36
310260,66786,279,227
310260,66786,234,67
310260,234,512190,91
310260,2300,477,62
310260,66786,203,107
310260,66786,463,99
310260,1125,482,19
310260,1125,443,61
310260,1125,319,18
310260,1125,74,4
310260,1125,496,4
310260,1125,495,10
310260,1125,206,31
310260,1125,43,27
310260,1125,487,19
310260,190,126510,173
310260,1125,493,6
310260,1125,468,7
310260,2300,401,13
310260,66786,494,57
310260,40,126510,5
310260,8665,180,8
310260,66786,311,52
310260,311,512190,65
310260,2300,476,58
310260,2300,279,131
310260,2300,311,97
310260,2300,234,108
310260,2300,469,73
310260,2300,480,29
310260,2300,206,12
310260,2300,481,15
310260,307,126510,5
310260,2300,319,14
310260,2300,74,15
310260,141,126510,49
310260,5035,463,25
310260,1125,160,3
310260,1125,203,24
310260,5035,203,31
310260,68886,203,27
310260,68886,317,2
310260,68886,234,3
310260,66786,441,4
310260,1125,480,25
310260,1125,311,32
310260,1125,234,39
310260,1125,481,19
310260,1125,400,12
310260,1125,279,38
310260,66786,120,7
310260,5035,279,10
310260,68886,311,7
310260,1125,293,4
310260,1125,62,6
310260,1125,399,6
310260,1125,122,4
310260,66786,40,2
310260,40,512190,4
310260,1125,307,2
310260,1125,459,2
310260,13,126510,1
310260,307,512190,1
310260,8665,441,2
310260,68886,100,1
310260,1125,100,1
310260,100,516270,2
310260,186,512190,2
310260,353,512190,2
310260,410,512190,2
310260,66786,410,1
310260,2300,1,1
310260,2300,410,2
310260,8665,243,23
310260,68886,160,10
310260,5035,443,7
310260,140,126510,8
310260,8763,243,4
310260,2300,482,12
310260,1125,476,15
310260,1125,477,9
310260,1125,469,9
310260,8763,180,3
310260,5035,311,5
310260,2300,495,3
310260,2300,496,3
310260,5035,160,6
310260,8665,149,12
310260,68886,74,1
310260,5035,190,2
310260,104,126510,2
310260,173,126510,15
310260,1125,490,13
310260,1125,489,8
310260,1125,96,5
310260,1125,401,5
310260,66786,160,1
310260,1125,494,9
310260,1125,87,2
310260,1125,441,2
310260,2300,190,2
310260,2300,468,3
310260,2300,493,1
310260,2300,121,1
310260,1125,121,2
310260,1125,190,2
310260,2300,160,1
310410,9820,277,23
310410,9820,143,46
310410,850,455,44
310410,850,124,71
310410,850,437,14
310410,5110,445,95
310410,850,472,27
310410,850,416,340
310410,850,208,89
310410,850,123,42
310410,66461,52,38
310410,9820,374,9
310410,9820,66,8
310410,66461,230,6
310410,66461,111,3
310410,66461,24,3
310410,66461,305,2
310410,9820,128,7
310410,850,491,66
310410,850,427,94
