carrier,freq,cid,count
310410,675,269,291
310410,2256663,67,95
310410,2258329,67,74
310410,2259995,67,74
310410,2261661,67,74
310410,52740,269,49
310410,52941,269,44
310410,53139,269,46
310410,675,272,286
310410,52740,272,235
310410,52941,272,310
310410,53139,272,265
310410,5110,406,21
310410,675,406,175
310410,66686,406,114
310410,2256663,456,89
310410,675,439,20
310410,174270,573,17
310410,9820,439,23
310410,174270,269,10
310410,675,380,14
310410,5330,380,5
310410,66686,380,16
310410,67086,380,12
310410,1025,380,12
310410,174270,572,9
310410,675,18,84
310410,5330,18,65
310410,9820,18,7
310410,5330,439,5
310410,675,79,4
310410,52740,79,2
310410,52941,79,3
310410,53139,79,3
310410,174270,194,10
310410,675,332,113
310410,52740,332,2
310410,52941,332,2
310410,53139,332,2
310410,675,257,4
310410,52740,257,4
310410,52941,257,4
310410,53139,257,4
310410,675,431,4
310410,5330,119,3
310410,66686,431,5
310410,67086,431,6
310410,675,236,7
310410,5330,236,2
310410,174270,426,14
310410,174270,27,7
310410,174270,490,11
310410,675,448,18
310410,5330,448,10
310410,66686,448,18
310410,67086,448,17
310410,174270,648,14
310410,675,354,700
310410,5330,354,320
310410,66686,354,592
310410,67086,354,635
310410,9820,354,195
310410,675,155,386
310410,52740,155,330
310410,52941,155,337
310410,53139,155,190
310410,174270,873,311
310410,174270,299,29
310410,9820,448,12
310410,675,425,16
310410,52740,425,22
310410,52941,425,24
310410,53139,425,22
310410,675,397,34
310410,5330,397,13
310410,66686,397,18
310410,67086,397,20
310410,1025,397,15
310410,9840,397,13
310410,675,194,13
310410,47090,194,12
310410,47291,194,13
310410,47489,194,12
310410,174270,305,31
310410,675,389,9
310410,52740,389,17
310410,2256663,863,4
310410,2258329,863,2
310410,2259995,863,2
310410,2261661,863,2
310410,52941,389,6
310410,53139,389,5
310410,675,392,10
310410,52740,392,6
310410,52941,392,8
310410,53139,392,7
310410,174270,778,48
310410,675,193,6
310410,52941,268,5
310410,174270,161,60
310410,174270,927,89
310410,675,497,19
310410,52740,497,23
310410,52941,497,44
310410,53139,497,38
310410,675,173,73
310410,5330,173,39
310410,66686,173,69
310410,67086,173,81
310410,1025,173,52
310410,9820,173,11
310410,66686,304,10
310410,52740,304,21
310410,52941,304,20
310410,53139,304,20
310410,1150,304,10
310410,66686,154,76
310410,675,154,81
310410,67086,154,82
310410,1150,154,48
310410,174270,910,37
310410,66686,19,15
310410,675,19,19
310410,5330,19,10
310410,67086,19,4
310410,1150,19,3
310410,66686,422,3
310410,52940,422,5
310410,53141,422,5
310410,53339,422,5
310410,1150,422,4
310410,66686,383,21
310410,675,383,25
310410,5330,383,15
310410,67086,383,23
310410,1150,383,2
310410,174270,31,17
310410,1025,383,4
310410,66686,44,231
310410,52740,44,10
310410,52941,44,10
310410,53139,44,10
310410,1150,44,62
310410,66686,148,5
310410,675,148,22
310410,5330,148,11
310410,67086,148,5
310410,1150,148,2
310410,174270,953,13
310410,1550,383,2
310410,9840,383,2
310410,67086,285,14
310410,675,285,20
310410,5330,285,10
310410,66686,285,9
310410,1550,285,4
310410,174270,246,5
310410,1025,285,5
310410,67086,396,3
310410,675,396,7
310410,5330,396,2
310410,66686,396,3
310410,1550,396,1
310410,67086,229,1
310410,675,229,19
310410,5330,229,2
310410,66686,229,17
310410,1550,229,1
310410,67086,97,20
310410,675,97,25
310410,5330,97,6
310410,66686,97,19
310410,1550,97,4
310410,174270,312,7
310410,1025,97,11
310410,174270,741,9
310410,67086,223,9
310410,675,223,10
310410,5330,223,3
310410,66686,223,10
310410,1550,223,4
310410,174270,684,5
310410,67086,99,14
310410,675,99,24
310410,5330,99,7
310410,66686,99,14
310410,1550,99,2
310410,1025,99,13
310410,5110,54,1
310410,174270,885,9
310410,174270,296,13
310410,9840,97,3
310410,9820,99,5
310410,675,440,44
310410,66686,440,40
310410,67086,440,43
310410,5330,440,20
310410,1025,440,25
310410,1150,99,2
310410,1150,440,16
310410,174270,811,1394
310410,9840,440,9
310410,67086,410,126
310410,1550,410,47
310410,9820,410,99
310410,66686,410,269
310410,67086,388,751
310410,675,388,686
310410,5330,388,355
310410,66686,388,736
310410,1550,388,143
310410,9840,388,54
310410,174270,207,538
310410,675,410,364
310410,5330,410,45
310410,174270,232,44
310410,174270,8,689
310410,67086,76,235
310410,675,76,4043
310410,5330,76,1701
310410,66686,76,266
310410,1550,76,209
310410,174270,629,1194
310410,1025,76,217
310410,9840,76,3666
310410,67086,258,468
310410,675,258,1205
310410,5330,258,622
310410,66686,258,487
310410,1550,258,199
310410,9820,258,1039
310410,174270,93,146
310410,67086,403,146
310410,675,403,142
310410,5330,403,48
310410,66686,403,150
310410,1550,403,73
310410,9820,403,118
310410,174270,466,340
310410,67086,335,195
310410,675,335,186
310410,5330,335,88
310410,66686,335,198
310410,1550,335,93
310410,1025,335,122
310410,67086,273,230
310410,675,273,296
310410,5330,273,117
310410,66686,273,242
310410,1550,273,156
310410,174270,372,205
310410,9840,273,98
310410,67086,478,270
310410,675,478,211
310410,5330,478,132
310410,66686,478,273
310410,1550,478,225
310410,174270,589,163
310410,1025,478,86
310410,1025,273,127
310410,675,43,141
310410,5330,43,56
310410,66686,43,112
310410,67086,43,112
310410,1025,43,62
310410,675,372,170
310410,67086,372,169
310410,5330,372,92
310410,66686,372,148
310410,1025,372,93
310410,675,464,136
310410,5330,464,75
310410,66686,464,104
310410,67086,464,119
310410,174270,874,99
310410,67086,381,9
310410,675,381,9
310410,5330,381,6
310410,66686,381,9
310410,1550,381,5
310410,1025,381,1
