carrier,freq,cid,count
310410,675,269,24319
310410,675,272,24505
310410,675,189,47235
310410,675,143,14110
310410,53139,269,3383
310410,2256663,67,6003
310410,53139,272,7377
310410,2258329,67,5043
310410,2259995,67,5043
310410,2261661,67,5042
310410,2256663,561,2270
310410,675,172,68988
310410,52740,269,3583
310410,52941,269,4178
310410,675,183,319
310410,675,203,126606
310410,675,276,8079
310410,52740,272,7033
310410,52941,272,8782
310410,675,285,2638
310410,52941,10,2300
310410,52740,10,1353
310410,675,195,2060
310410,52941,285,624
310410,675,406,52725
310410,52740,285,1174
310410,675,63,28459
310410,52740,63,4489
310410,52740,176,4227
310410,53139,10,1071
310410,675,18,45517
310410,52941,63,5567
310410,2200,272,140
310410,2200,406,114
310410,2200,143,74
310410,5110,406,15129
310410,5110,143,3206
310410,5110,18,13178
310410,2200,363,2
310410,2200,10,50
310410,5110,239,414
310410,2200,18,51
310410,2200,357,1
310410,66686,406,26612
310410,66686,272,18060
310410,1025,406,14558
310410,66686,10,8899
310410,1025,18,10904
310410,1025,269,5543
310410,2256667,860,147
310410,2256663,660,15926
310410,2256663,456,15456
310410,675,10,5908
310410,5110,159,1560
310410,66686,143,8076
310410,66686,18,18779
310410,5110,189,20944
310410,1025,282,303
310410,1025,239,446
310410,66686,67,9753
310410,675,67,11286
310410,1025,201,52898
310410,66686,201,70119
310410,66686,239,754
310410,675,439,4398
310410,675,380,4420
310410,5330,439,56
310410,9820,439,10748
310410,5330,380,28
310410,174270,573,6916
310410,174270,269,6706
310410,675,109,918
310410,9820,43,3826
310410,675,8,8110
310410,675,294,88
310410,675,198,755
310410,675,483,361
310410,675,79,852
310410,675,171,942
310410,675,71,172
310410,174270,572,1323
310410,66686,380,2961
310410,67086,380,9874
310410,1025,380,1707
310410,675,345,4823
310410,66686,171,27405
310410,1025,345,722
310410,67086,171,238
310410,66686,345,2203
310410,67086,345,1055
310410,5330,18,27587
310410,9820,18,566
310410,675,314,2115
310410,675,116,159
310410,9820,116,10
310410,9820,127,13
310410,9820,239,13
310410,675,448,2964
310410,9820,390,102
310410,9820,431,337
310410,52740,79,10
310410,52941,79,25
310410,53139,79,27
310410,174270,194,1267
310410,174270,522,4
310410,675,210,1438
310410,675,431,886
