carrier,serving_cellset,count
310410,67086-76/174270-207/66686-76/9840-76,1
310410,1550-76/174270-207/66686-76/9840-76,1
310410,67086-76/174270-629/66686-76/9840-76,2
310410,1550-76/174270-629/66686-76/9840-76,1
310410,67086-76/174270-8/66686-76/9840-76,1
310410,1550-76/174270-8/66686-76/9840-76,1
310410,67086-258/675-258/5330-258/66686-258,53
310410,1550-258,151
310410,67086-258/174270-811/9820-258/66686-258,59
310410,67086-76/174270-811/1025-76/66686-76/675-76,31
310410,67086-388/174270-811/675-388/66686-388,6
310410,1550-388/174270-811/675-388/66686-388,1
310410,1550-388/174270-8/9840-388/66686-388,1
310410,67086-388/174270-8/9840-388/66686-388,2
310410,1550-410/174270-207,1
310410,67086-410/675-410/5330-410,1
310410,67086-410/174270-93/675-410,1
310410,67086-76/675-76/5330-76,2
310410,67086-76/174270-93/9840-76/66686-76,1
310410,67086-410/174270-93/9820-410/66686-410,2
310410,67086-403/675-403/5330-403/66686-403,9
310410,1550-403,49
310410,67086-403/174270-93/66686-403/9820-403,6
310410,1550-403/174270-93/66686-403/9820-403,3
310410,67086-403/174270-466/66686-403/9820-403,4
310410,67086-335/675-335/5330-335/66686-335,21
310410,1550-335,73
310410,67086-335/174270-466/1025-335/66686-335/675-335,6
310410,1550-335/174270-466/1025-335/66686-335/675-335,2
310410,67086-335/174270-93/1025-335/66686-335/675-335,1
310410,1550-335/174270-93/1025-335/66686-335/675-335,1
310410,67086-76/1025-76/5330-76/66686-76,1
310410,67086-76/174270-93/66686-76/1025-76/675-76,1
310410,67086-76/5330-76/9840-76,1
310410,67086-76/174270-93/1025-76/675-76/66686-76,1
310410,1550-76/174270-93/66686-76,1
310410,67086-76/174270-466/9840-76/66686-76,1
310410,1550-76/174270-466/9840-76/66686-76,2
310410,1550-76/174270-629/9840-76/66686-76,5
310410,67086-273/675-273/5330-273/66686-273,45
310410,1550-273,112
310410,67086-273/174270-372/9840-273/66686-273,17
310410,67086-478/675-478/5330-478/66686-478,105
310410,1550-478,218
310410,67086-478/174270-589/1025-478/66686-478/675-478,1
310410,1550-478/174270-589/1025-478/66686-478,2
310410,67086-478/174270-811/1025-478/66686-478,1
