carrier,serving_cellset,count
311480,1300-309,141
311480,1300-309/176930-309/67086-309/1100-309,15
311480,66836-309/56140-236/55942-235/55744-234,11
311480,66836-232/66586-232/67086-232,54
311480,1300-232,210
311480,66836-232/176930-104/66586-232,11
311480,66836-110/67086-110/66586-110/1100-309,58
311480,1300-110,310
311480,1300-110/2078331-191/67086-110/66586-110/1100-309,2
311480,1300-232/2078331-191/66586-232/67086-232,5
311480,66836-104/66586-104/67086-104/1100-104,25
311480,1300-104,141
311480,66836-104/176930-309/67086-104/1100-104,9
311480,66836-309/47489-228/47291-229/47090-230,21
311480,66836-309/176930-309/66586-309/1100-309,17
311480,1300-309/176930-309/66586-309/1100-309,16
311480,66836-309/47291-229/47090-230/66586-309,2
311480,1300-309/2078331-189/47291-229/47090-230/66586-309,1
311480,66836-309/47291-229/47090-230/67086-309,1
311480,66836-309/176930-104/66586-309/1100-309,6
311480,66836-112/67086-112/66586-112/1100-310,33
311480,1300-112,165
311480,66836-112/176930-309/1100-310/66586-112,18
311480,1300-112/176930-309/1100-310/66586-112,12
311480,66836-112/176930-104/1100-310/66586-112,11
311480,66836-104/67086-104/66586-104/1100-104,32
311480,66836-104/176930-104/67086-104/1100-104,15
311480,1300-104/176930-104/67086-104/1100-104,11
311480,1300-104/176930-102/67086-104/1100-104,3
311480,66836-108/67086-108/66586-108/1100-309,26
311480,1300-108,180
311480,66836-108/176930-102/1100-309/67086-108,16
311480,66836-102/67086-102/66586-102/1100-102,30
311480,1300-102,189
311480,66836-102/176930-102/67086-102/1100-102,39
311480,66836-108/176930-102/1100-309/66586-108,12
311480,66836-102/66586-102/67086-102/1100-102,48
311480,66836-102/176930-102/66586-102/1100-102,38
311480,66836-109/66586-109/67086-109/1100-60,46
311480,1300-109,202
311480,66836-60/47489-60/47090-60/47291-60,7
311480,1300-60,179
311480,1300-30,127
311480,1100-184,23
311480,1100-61,34
311480,1100-184/55744-93/55942-94/56140-95,8
311480,1100-341/66586-341/66836-341/5230-341,29
311480,1100-341/2078331-366/66586-341/66836-341/5230-341,1
311480,1100-341/2078331-365/66586-341/66836-341/5230-341,1
311480,1100-341/66836-341/66586-341/5230-341,30
311480,1100-61/66836-61/66586-61/5230-61,46
311480,1100-341,21
311480,1100-226,3
311480,66836-30/66586-30/1100-61/5230-60,86
311480,66836-226/1100-226/66586-226/5230-226,12
311480,1300-226,44
311480,66836-60/47090-60/47291-60/47489-60,4
311480,66836-108/66586-108/67086-108/1100-309,22
311480,1300-108/2078331-285/66586-108/67086-108/1100-309,2
311480,66836-109/67086-109/66586-109/1100-60,36
311480,66836-109/176930-104/1100-60/66586-109,15
311480,1300-109/176930-104/1100-60/66586-109,17
311480,1300-109/176930-102/1100-60/66586-109,17
311480,66836-184/55744-93/55942-94/56140-95,15
311480,1300-184,83
311480,1300-22,110
311480,66836-61/1100-61/66586-61/5230-61,49
311480,1300-61,186
311480,1300-23,67
311480,66836-15/67086-15/66586-15/1100-61,25
311480,1300-15,83
311480,66836-23/66586-23/1100-61/5230-61,38
311480,66836-16/67086-16/66586-16/1100-61,4
311480,1300-16,20
311480,66836-17/66586-17/1100-61/5230-119,11
311480,1300-17,35
311480,66836-341/66586-341/1100-341/5230-341,17
311480,1300-341,74
311480,66836-119/66586-119/5230-119,23
311480,1300-119,43
311480,66836-22/66586-22/1100-61/5230-61,54
311480,66836-184/55942-94/56140-95/55744-93,2
311480,66836-60/47489-60/47291-60/47090-60,21
311480,66836-60/47090-60/47489-60/47291-60,12
311480,1300-102/LTE-NoneMI)Unknown,1
311480,66836-60/47291-60/47090-60/47489-60,5
311480,1100-184/2078331-603/55744-93/55942-94/56140-95,3
311480,1100-341/2078331-854/66586-341/66836-341/5230-341,1
311480,66586-22/66836-22/1100-61/5230-61,88
311480,1050-22,131
311480,66586-184/55744-93/55942-94/56140-95,14
311480,1050-184,106
311480,66586-30/66836-30/1100-61/5230-60,108
311480,1050-30,162
311480,1050-226,44
311480,66586-60/47489-60/47291-60/47090-60,25
311480,1050-60,176
311480,5230-60,11
311480,1050-309,144
311480,66586-311/56342-241/56540-242/56144-240,2
311480,1050-311,56
311480,66586-311/176930-311/66836-311/1100-311,13
311480,66586-96/56140-326/55942-325/55744-324,18
311480,1050-96,72
311480,66586-96/176930-311/67086-96/1100-96,6
311480,1050-96/176930-311/67086-96/1100-96,3
311480,66586-96/176930-96/67086-96/1100-96,13
311480,1050-96/176930-96/67086-96/1100-96,7
311480,1050-96/176930-98/67086-96/1100-96,3
311480,66586-98/56090-332/55642-330/55840-331,4
311480,1050-98,8
311480,66586-98/176930-98/67086-98/1100-98,4
311480,66586-5/66836-5/1100-96/5230-5,7
311480,1050-5,26
311480,66586-5/176930-96/1100-96/66836-5,14
311480,66586-96/176930-311/66836-96/1100-96,9
311480,66586-389/66836-389/1100-389/5230-389,7
311480,1050-389,44
311480,66586-389/176930-96/1100-389/66836-389,13
311480,1050-389/176930-96/1100-389/66836-389,5
311480,66586-389/176930-311/1100-389/66836-389,18
311480,66586-432/66836-432/1100-61/5230-432,26
311480,1050-432,90
311480,66586-432/176930-311/1100-61/66836-432,20
311480,66586-311/47291-232/47090-233/47489-231,3
311480,66586-311/176930-311/67086-311/1100-311,16
311480,66586-96/176930-98/66836-96/1100-96,2
311480,1050-96/176930-98/66836-96/1100-96,2
311480,1050-96/176930-96/66836-96/1100-96,7
311480,66586-5/1100-96/66836-5/5230-5,2
311480,66586-311/47489-231/47291-232/47090-233,6
311480,66586-96/176930-96/66836-96/1100-96,11
311480,66586-311/56144-240/56342-241/56540-242,2
311480,1050-432/176930-311/1100-61/66836-432,5
311480,66586-432/176930-96/1100-61/66836-432,6
311480,1050-432/176930-96/1100-61/66836-432,4
311480,66586-432/176930-309/1100-61/66836-432,10
311480,1050-432/176930-309/1100-61/66836-432,6
311480,66586-432/176930-104/1100-61/66836-432,8
311480,1050-432/176930-104/1100-61/66836-432,21
311480,66586-104/66836-104/67086-104/1100-104,18
311480,1050-104,136
311480,66586-104/176930-309/67086-104/1100-104,16
311480,66586-56/67086-56/66836-56/1100-126,33
311480,1050-56,223
311480,1050-232,205
311480,1050-232/2078331-189/67086-232/66836-232,2
311480,66586-309/47489-228/47291-229/47090-230,5
311480,1050-309/2078331-189/47489-228/47291-229/47090-230,1
311480,66586-232/66836-232/67086-232,33
311480,66586-232/176930-104/67086-232,6
311480,1050-232/176930-104/67086-232,10
311480,66586-232/176930-309/67086-232,18
311480,1050-232/176930-309/67086-232,11
311480,66586-108/67086-108/66836-108/1100-309,32
311480,1050-108,280
311480,66586-108/176930-310/1100-309/67086-108,9
311480,1050-108/176930-310/1100-309/67086-108,16
311480,66586-108/176930-104/1100-309/67086-108,10
311480,1050-108/176930-104/1100-309/67086-108,34
311480,66586-310/55940-238/55742-237/56190-239,5
311480,1050-310,104
311480,66586-310/176930-310/67086-310/1100-310,27
311480,66586-388/66836-388/1100-388/5230-388,33
311480,1050-388,163
311480,66586-388/176930-310/1100-388/66836-388,51
311480,1050-388/176930-310/1100-388/66836-388,27
311480,66586-388/176930-309/1100-388/66836-388,19
311480,1050-388/176930-309/1100-388/66836-388,32
311480,66586-216/66836-216/5230-216,28
311480,1050-216,44
311480,66586-39/66836-39/5230-39,40
311480,1050-39,83
311480,66586-435/1100-97/66836-435/5230-435,5
311480,1050-435,40
311480,66586-435/176930-96/1100-97/66836-435,1
311480,66586-3/66836-3/1100-97/5230-3,6
311480,1050-3,28
311480,1050-3/2078331-452/66836-3/1100-97/5230-3,3
311480,66586-3/1100-97/66836-3/5230-3,5
311480,1050-97,88
311480,66586-97/176930-97/67086-97/1100-97,14
311480,66586-257/2561-257/66836-257/1100-257,1
311480,1050-257,130
311480,66586-257/176930-257/67086-257/1100-257,31
311480,1050-257/176930-257/67086-257/1100-257,14
311480,66586-257/176930-97/67086-257/1100-257,3
311480,66586-97/56140-329/55942-328/55744-327,1
311480,66586-97/176930-97/66836-97/1100-97,16
311480,66586-257/66836-257/67086-257/1100-257,10
311480,1050-257/176930-97/67086-257/1100-257,4
311480,1050-257/176930-256/67086-257/1100-257,2
311480,66586-436/66836-436/5230-436,13
311480,1050-436,49
311480,66586-436/176930-257/66836-436,17
311480,1050-436/176930-257/66836-436,13
311480,66586-436/176930-97/66836-436,10
311480,66586-418/66836-418/1100-418/5230-418,1
311480,1050-418,2
311480,1050-218,120
311480,66586-255/67086-255/66836-255/1100-255,25
311480,1050-255,209
311480,66586-255/176930-257/67086-255/1100-255,12
311480,66586-437/66836-437/5230-437,24
311480,1050-437,75
311480,1050-437/2078331-719/66836-437/5230-437,2
311480,66586-257/67086-257/66836-257/1100-257,16
311480,66586-257/176930-257/66836-257/1100-257,28
311480,66586-437/176930-257/66836-437,39
311480,1100-255,15
311480,1100-257/66836-257/66586-257/67086-257,7
311480,1100-257/176930-257/66836-257/67086-257,13
311480,1100-257/176930-255/66836-257/67086-257,4
311480,1100-255/67086-255/66586-255/66836-255,2
311480,1100-255/176930-257/67086-255/66586-255/66836-255,1
