carrier,freq,cid,count
46000,38950,290,8
46000,37900,56,13
46000,37900,134,10
46000,37900,382,19
46000,38098,382,11
46000,38098,45,31
46000,38098,47,8
46000,1300,378,9
46000,1300,355,21
46000,1300,416,11
46000,1300,219,12
46000,38098,105,24
46000,38098,502,5
46000,38098,501,13
46000,38098,447,52
46000,38098,503,7
46000,40936,447,8
46000,40936,380,10
46000,40936,448,12
46000,40936,379,13
46000,40936,205,19
46000,40936,206,36
46000,40936,156,6
46000,37900,45,24
46000,37900,47,41
46000,1300,221,16
46000,37900,105,30
46000,37900,334,15
46000,37900,502,13
46000,37900,501,27
46000,37900,503,5
46000,1300,220,49
46000,37900,447,74
46000,1300,87,6
46000,1300,89,23
46000,1300,478,14
46000,1300,420,9
46000,1300,118,39
46000,1300,253,1
46000,1300,270,12
46000,1300,271,6
46000,1300,332,2
46000,38098,380,9
46000,38098,448,31
46000,38098,379,10
46000,37900,104,11
46000,37900,269,13
46000,37900,206,5
46000,1300,364,7
46000,38098,206,15
46000,38098,156,19
46000,38098,158,5
46000,38098,157,7
46000,37900,327,7
46000,39148,48,1
46000,38950,288,5
46000,37900,461,7
46000,37900,391,14
46000,1300,177,1
46000,1300,311,33
46000,38098,25,87
46000,37900,25,7
46000,40936,251,3
46000,40936,104,21
46000,40936,430,64
46000,3683,128,9
46000,1300,8,70
46000,1300,382,49
46000,38098,80,11
46000,40936,80,50
46000,40936,78,20
46000,40936,339,3
46000,40936,320,6
46000,40936,407,32
46000,40936,305,4
46000,40936,303,3
46000,1300,143,22
46000,38098,220,29
46000,38098,375,23
46000,1300,267,7
46000,1300,213,8
46000,38098,409,14
46000,38098,410,14
46000,38098,336,5
46000,38098,337,19
46000,38098,87,8
46000,38098,88,15
46000,38098,35,20
46000,38098,18,36
46000,37900,18,46
46000,37900,19,131
46000,37900,402,15
46000,37900,404,30
46000,37900,366,34
46000,37900,310,102
46000,1300,222,4
46000,1300,315,31
46000,37900,311,53
46000,38098,55,14
46000,1300,470,12
46000,1300,464,10
46000,38098,228,15
46000,1300,462,20
46000,38098,230,55
46000,40936,230,8
46000,40936,276,1
46000,1300,208,35
46000,1300,209,2
46000,37900,277,2
46000,1300,452,40
46000,37900,30,26
46000,37900,32,13
46000,40936,32,12
46000,3683,229,7
46000,38098,32,10
46000,38098,221,20
46000,38098,345,9
46000,38098,139,7
46000,1300,450,248
46000,38098,31,70
46000,38098,285,52
46000,40936,285,8
46000,37900,352,30
46000,37900,478,21
46000,37900,286,83
46000,37900,477,25
