carrier,serving_cellset,count
46000,1300-488,9
46000,37900-145,7
46000,37900-146,8
46000,37900-331,22
46000,1300-158,5
46000,1300-148,10
46000,38098-30,11
46000,38098-69,41
46000,38098-191,8
46000,38098-428,21
46000,38098-190,14
46000,1300-127,13
46000,1300-153,18
46000,37900-190,11
46000,1300-68,5
46000,38098-189,15
46000,38098-65,8
46000,37900-65,4
46000,1300-502,11
46000,37900-317,5
46000,37900-315,18
46000,37900-320,16
46000,37900-353,8
46000,1300-373,1
46000,1300-372,2
46000,38098-313,29
46000,38098-63,6
46000,40936-63,3
46000,40936-312,2
46000,1300-499,11
46000,37900-8,37
46000,1300-384,10
46000,1300-446,18
46000,1300-437,10
46000,38098-298,20
46000,38098-68,27
46000,1300-436,13
46000,38098-412,28
46000,37900-6,5
46000,37900-460,6
46000,37900-411,49
46000,38098-325,13
46000,38098-411,10
46000,37900-326,4
46000,37900-325,1
46000,38098-353,10
46000,38098-351,8
46000,37900-351,9
46000,38098-22,4
46000,38098-23,115
46000,1300-237,23
46000,37900-344,33
46000,38098-344,36
46000,1300-277,11
46000,1300-128,10
46000,38098-76,2
46000,38098-77,4
46000,38098-56,29
46000,38098-443,11
46000,38098-442,4
46000,38098-223,11
46000,38098-222,53
46000,37900-222,63
46000,1300-363,9
46000,1300-365,1
46000,1300-57,18
46000,37900-258,20
46000,1300-287,11
46000,38098-258,15
46000,38950-178,3
46000,40936-222,14
46000,40936-223,15
46000,37900-221,24
46000,37900-250,14
46000,37900-428,18
46000,37900-427,24
46000,1300-99,3
46000,1300-100,6
46000,38098-197,5
46000,37900-390,9
46000,37900-369,8
46000,37900-370,10
46000,3683-422,5
46000,1300-405,7
46000,1300-370,13
46000,38098-108,8
46000,38098-437,20
46000,38098-438,19
46000,3683-281,12
46000,37900-346,17
46000,37900-234,11
46000,37900-217,26
46000,37900-216,40
46000,37900-482,5
46000,40936-482,14
46000,40936-133,2
46000,40936-132,6
46000,40936-364,1
46000,40936-43,32
46000,1300-414,2
46000,37900-42,16
46000,37900-44,7
46000,37900-364,12
46000,37900-363,11
46000,37900-101,7
46000,38098-101,6
46000,1300-231,4
46000,39148-440,2
46000,39292-440,2
46000,37900-274,18
46000,37900-273,15
46000,37900-76,16
46000,37900-75,11
46000,37900-77,19
46000,37900-491,9
46000,37900-10,7
46000,1300-13,4
46000,38098-446,8
46000,38098-484,18
46000,38098-485,23
46000,37900-78,6
46000,37900-97,9
46000,37900-98,8
46000,37900-345,10
46000,40936-345,2
46000,1300-230,5
46000,1300-38,4
46000,38098-309,13
46000,1300-391,5
46000,37900-356,31
46000,37900-319,45
46000,37900-450,8
46000,37900-242,12
46000,37900-240,3
46000,37900-143,13
46000,37900-330,11
46000,37900-43,8
46000,1300-260,8
46000,38098-200,33
46000,1300-92,29
46000,37900-471,10
46000,38098-472,20
46000,37900-29,2
46000,37900-107,46
46000,37900-270,13
46000,1300-180,6
46000,38098-346,8
46000,38098-128,32
46000,38098-312,16
46000,38098-342,18
46000,38098-46,15
46000,37900-156,20
46000,37900-192,7
46000,37900-158,5
46000,38098-205,9
46000,37900-54,3
46000,37900-328,5
46000,37900-367,24
46000,37900-339,6
46000,37900-420,14
46000,37900-304,26
46000,37900-303,7
46000,38098-305,5
46000,38098-241,5
46000,37900-229,7
46000,38098-276,20
46000,40936-468,5
46000,37900-468,11
46000,37900-93,13
46000,37900-341,14
46000,38098-271,6
46000,38098-106,22
46000,1300-117,6
46000,38098-473,8
46000,38098-471,17
46000,38098-416,5
46000,38098-377,5
46000,38098-376,15
46000,38098-413,2
46000,38098-452,6
46000,1300-314,2
46000,38098-9,38
46000,38098-273,4
46000,38098-239,16
46000,37900-292,14
46000,37900-291,7
46000,37900-130,43
46000,37900-129,2
46000,1300-147,1
46000,38098-89,1
46000,37900-141,4
46000,40936-87,2
46000,1300-161,2
46000,38098-335,7
46000,40936-487,3
46000,1300-232,3
46000,37900-178,7
46000,37900-354,31
46000,37900-260,16
46000,1300-279,1
46000,1300-280,1
46000,1300-107,1
46000,1300-108,2
46000,38950-31,3
46000,38950-185,1
46000,37900-435,16
46000,37900-498,8
46000,37900-17,22
46000,38098-148,21
46000,40936-148,16
46000,1275-95,2
46000,1275-111,4
46000,38098-3,11
46000,38098-95,4
46000,38098-256,4
46000,1275-500,4
46000,1275-412,4
46000,38098-255,6
46000,40936-200,2
46000,38098-247,6
46000,38098-246,11
46000,38098-245,24
46000,40936-258,5
46000,1275-495,6
46000,38098-169,10
46000,38098-449,15
46000,1275-397,1
46000,1275-281,3
46000,37900-202,7
46000,1275-286,5
46000,38098-186,20
46000,38098-187,12
46000,40936-187,20
46000,40936-189,4
46000,40936-188,21
46000,40936-396,2
46000,1275-336,20
46000,38098-396,37
46000,1275-379,3
46000,1275-72,4
46000,38098-444,25
46000,38098-20,3
46000,40936-375,4
46000,40936-10,7
46000,38099-110,3
46000,37900-160,22
46000,37900-81,34
46000,37900-332,3
46000,37900-196,22
46000,38099-24,6
46000,38099-434,2
46000,40937-434,2
46000,40937-238,3
46000,40937-153,3
46000,40937-128,2
46000,40937-85,1
46000,40937-116,3
46000,40937-117,2
46000,40937-305,3
46000,40937-282,4
46000,40937-364,2
46000,40937-284,2
46000,1300-445,16
46000,40937-247,2
46000,38098-477,3
46000,37900-179,16
46000,37900-408,5
46000,1300-130,1
46000,1300-78,4
46000,3641-8,2
46000,1300-149,9
46000,37900-403,8
46000,37900-243,10
46000,3641-408,1
46000,3641-70,2
46000,3641-71,2
46000,37900-15,33
46000,3641-245,1
46000,38098-15,51
46000,1300-58,2
46000,3641-134,2
46000,1300-392,2
46000,3641-258,2
46000,3641-260,2
46000,37900-324,4
46000,37900-469,5
46000,3641-176,9
46000,3641-92,6
46000,3641-90,4
46000,3641-183,9
46000,1300-274,11
46000,1300-155,1
46000,37900-90,9
46000,3641-332,12
46000,3641-478,2
46000,1300-491,17
46000,38098-264,32
46000,37900-264,19
46000,38098-266,8
46000,37900-259,14
46000,38950-125,20
46000,38950-496,20
46000,38950-124,1
46000,38950-495,22
46000,1300-65,4
46000,38098-414,13
46000,37900-394,25
46000,37900-395,16
46000,38098-463,12
46000,38098-464,3
46000,1300-313,3
46000,37900-392,10
46000,37900-112,12
46000,1300-380,3
46000,1300-91,6
46000,37900-293,20
46000,40936-127,4
46000,1300-401,6
46000,1300-48,8
46000,1300-197,1
46000,1300-146,9
46000,37900-89,9
46000,38098-340,18
46000,37900-157,2
46000,1300-442,8
46000,38098-38,12
46000,40936-445,6
46000,37900-46,9
46000,37900-298,6
46000,39292-495,5
46000,39148-495,11
46000,38950-481,12
46000,39148-481,11
46000,39148-481/38950-481,2
46000,39148-480/38950-481,2
46000,39148-480,4
46000,39148-344,9
46000,39148-344/38950-344,5
46000,39148-432/38950-344,3
46000,39148-432,7
46000,1300-16,9
46000,39148-434,7
46000,39148-434/38950-434,3
46000,38950-158/38950-434,4
46000,38950-158,6
46000,38950-500,11
46000,39148-500,7
46000,39148-499,9
46000,39148-41,2
46000,39148-41/38950-41,3
46000,39148-40/38950-41,3
46000,39148-40,9
46000,39148-40/38950-40,3
46000,39148-41/38950-40,1
46000,39148-341/38950-40,2
46000,39148-341,12
46000,39292-341,4
46000,1300-122,14
46000,38950-341,10
46000,38950-461,16
46000,39292-461,12
46000,38950-461/39148-461,6
46000,39292-461/39148-461,5
46000,38950-427/39148-461,1
46000,38950-427,6
46000,38950-426,6
46000,38950-428,11
46000,1300-498,7
46000,1425-90,9
46000,39292-463,4
46000,39148-57,7
46000,38950-57,7
46000,38950-57/39148-57,2
46000,39148-497,5
46000,39148-496,12
46000,39292-496,22
46000,39148-496/38950-496,6
46000,39292-496/38950-496,4
46000,1300-7,13
46000,39148-485/38950-496,1
46000,39148-486/38950-496,2
46000,1300-486/38950-496,1
46000,38950-229/38950-496,2
46000,38950-471/38950-496,1
46000,38950-472/38950-496,1
46000,38950-464/38950-496,4
46000,39292-464/38950-496,2
46000,1300-161/38950-496,25
46000,38950-463/38950-496,18
46000,39148-426/38950-496,4
46000,39148-463/38950-496,4
46000,39292-463/38950-496,2
46000,38950-426/38950-496,11
46000,39148-463/38950-463,2
46000,39148-426/38950-463,2
46000,39148-426,6
46000,39148-426/38950-426,2
46000,38950-445/38950-426,1
46000,38950-445/39148-445,1
46000,39292-445/39148-445,2
46000,39292-445,1
46000,39148-445,9
46000,39148-420,4
46000,39292-420,2
46000,38950-420,11
46000,39148-473,3
46000,39148-472,6
46000,38950-472,9
46000,38950-472/39148-472,1
46000,39148-472/39148-472,2
46000,39148-472/38950-472,3
46000,1300-9/38950-472,10
46000,39148-437,13
46000,38950-437,23
46000,38950-437/39148-437,3
46000,39292-437/39148-437,3
46000,39292-437,2
46000,38950-474/39148-437,7
46000,39148-474/39148-437,6
46000,39292-474/39148-437,2
46000,39292-476/39148-437,1
46000,39148-476/39148-437,3
46000,39148-476/38950-476,1
46000,38950-476/38950-476,7
46000,38950-476,6
46000,38950-479,2
46000,39292-479,1
46000,39292-23,3
46000,39292-64,1
46000,39148-64,4
46000,39148-64/38950-64,1
46000,1300-88/38950-64,2
46000,1300-88,3
46000,1275-467,4
46000,38950-482,15
46000,38950-482/39148-482,5
46000,39148-481/39148-482,2
46000,1400-385,5
46000,38950-497,10
46000,38950-497/39148-497,6
46000,38950-496/39148-497,3
46000,38950-496/39148-496,2
46000,1400-496/39148-496,2
46000,1400-496,1
46000,39148-497/38950-497,1
46000,39148-474/38950-497,1
46000,39148-474,16
46000,39148-474/38950-474,3
46000,38950-476/38950-474,2
46000,39148-475/38950-474,2
46000,39148-475/38950-475,1
46000,39292-475/38950-475,1
46000,39292-475,1
46000,39292-481,6
46000,39292-480,4
46000,39292-434/38950-434,2
46000,39292-434,2
46000,1300-15,5
46000,38950-41,3
46000,38950-40,1
46000,1300-286,5
46000,39148-461,7
46000,39148-461/38950-461,1
46000,1300-286/38950-461,1
46000,39292-427,1
46000,39148-428,4
46000,38950-346,20
46000,39148-346,7
46000,39292-346,2
46000,38950-236,7
46000,38950-335,1
46000,38950-476/39148-476,5
46000,38950-474/39148-476,1
46000,38950-474,7
46000,38950-474/39148-474,4
46000,39148-474/39148-474,4
46000,38950-474/38950-474,2
46000,39292-474/38950-474,2
46000,39292-474,10
46000,39292-474/39148-474,2
46000,1300-407/39148-474,2
46000,1300-407,4
46000,1300-144,9
46000,38950-377,8
46000,39292-377,4
46000,39148-377,11
46000,39148-376,2
46000,39148-376/38950-376,1
46000,39292-376,2
46000,39292-333,2
46000,38950-333,4
46000,38950-333/39148-333,2
46000,39292-333/39148-333,2
46000,1300-221/39148-333,2
46000,39148-482,6
46000,37900-236,15
46000,38098-236,32
46000,40936-236,9
46000,40936-236/39148-482,2
46000,38950-429,14
46000,39148-429,12
46000,39148-429/38950-429,1
