operator,pcell,freq,thres_a3,thres_a6,count
310260,5035-438,1150_S,3.0,3.0,1
310260,5035-422,1150_S,3.0,3.0,3
310120,5035-422,1150_S,3.0,3.0,15
310120,5035-402,1150_S,3.0,3.0,2
310120,66786-422,1150_S,3.0,3.0,1
