pcell,freq
5110-385,850_S,
850-189,1975_S,
5110-389,1975_S,
850-206,9820_S,
850-196,1975_S,
9820-274,850_S,
850-338,9720_S,
850-470,9820_S,
850-203,9820_S,
850-203,9820_S,
850-457,9720_S,
850-316,1975_S,
850-87,1975_S,
