pcell,freq,thres_a3,thres_a6,count
5035-438,1150_S,3.0,3.0,1,
5035-422,1150_S,3.0,3.0,3,
5035-422,1150_S,3.0,3.0,15,
5035-402,1150_S,3.0,3.0,2,
66786-422,1150_S,3.0,3.0,1,
