operator,pcell,freq,count
ATT,9820,240,10
ATT,9820,258,9
ATT,9820,259,6
ATT,9820,281,3
ATT,9820,200,1
ATT,9820,302,3
ATT,2200,420,1
ATT,2200,239,1
ATT,2200,205,6
ATT,9820,98,2
