operator,pcell,freq,thres_b1,thres_a2,count
att,850-83,2259995_S,-113.0,-96.0,1
att,850-199,2259995_S,-110.0,-96.0,1
att,850-311,2259995_S,-112.0,-96.0,1
att,850-387,2259995_S,-110.0,-96.0,1
att,850-237,2259995_S,-112.0,-96.0,1
att,850-411,2259995_S,-110.0,-96.0,1
att,850-169,2259995_S,-110.0,-96.0,1
att,850-269,2259995_S,-110.0,-96.0,1
att,850-65,2259995_S,-110.0,-96.0,1
att,850-6,2259995_S,-115.0,-113.0,1
att,850-6,2259995_S,-115.0,-96.0,1
att,850-53,2259995_S,-112.0,-96.0,1
att,850-284,2259995_S,-110.0,-96.0,1
att,850-278,2259995_S,-110.0,-96.0,1
att,850-399,2259995_S,-113.0,-96.0,1
att,850-286,2259995_S,-112.0,-96.0,1
att,850-23,174300_S,-140.0,-115.0,1
att,850-346,2259995_S,-110.0,-96.0,1
att,850-190,2263327_S,-112.0,-96.0,1
att,850-182,2259995_S,-112.0,-96.0,1
att,850-55,2259995_S,-110.0,-96.0,1
att,850-232,2259995_S,-110.0,-96.0,1
att,850-428,2259995_S,-113.0,-96.0,1
att,850-382,2259995_S,-110.0,-96.0,1
att,850-295,2259995_S,-113.0,-96.0,1
att,850-325,2259995_S,-115.0,-113.0,1
att,850-325,2259995_S,-115.0,-96.0,1
att,850-497,2259995_S,-113.0,-96.0,1
att,850-413,2259995_S,-112.0,-96.0,1
att,5110-477,2259995_S,-115.0,-113.0,1
att,5110-430,2259995_S,-112.0,-96.0,1
att,850-463,2259995_S,-110.0,-96.0,1
att,850-453,2259995_S,-110.0,-96.0,1
att,850-70,2259995_S,-110.0,-96.0,1
att,850-289,2261661_S,-112.0,-96.0,1
att,850-337,2259995_S,-112.0,-96.0,1
att,5110-184,2266659_S,-112.0,-96.0,1
att,9820-368,2266659_S,-115.0,-96.0,1
att,9820-368,2266659_S,-115.0,-113.0,1
att,850-213,2259995_S,-112.0,-96.0,1
att,850-320,2259995_S,-112.0,-96.0,1
att,850-390,2259995_S,-115.0,-113.0,1
att,850-494,2259995_S,-115.0,-113.0,1
att,850-494,2259995_S,-115.0,-96.0,1
att,850-408,2259995_S,-112.0,-96.0,1
att,850-165,2259995_S,-115.0,-113.0,1
att,850-178,2259995_S,-110.0,-96.0,1
att,850-313,2259995_S,-113.0,-96.0,1
att,850-47,2259995_S,-110.0,-96.0,1
