ts operator freq cid missing_flag_new
2019-06-18 11:16:24.379121 46001 1650 442 False
2019-06-18 11:16:25.025207 46001 1650 442 False
2019-06-18 11:16:25.045223 46001 1650 442 False
2019-06-18 11:16:36.786964 46001 1650 442 False
2019-06-18 11:16:37.670236 46001 1650 86 False
2019-06-18 11:16:39.800191 46001 1650 86 False
2019-06-18 11:16:40.007971 46001 1650 458 False
2019-06-18 11:16:40.026897 46001 1650 458 False
2019-06-18 11:16:40.769103 46001 1650 458 False
2019-06-18 11:16:41.907096 46001 1650 458 False
2019-06-18 11:16:50.356318 46001 1650 86 False
2019-06-18 11:16:51.692095 46001 1650 86 False
2019-06-18 11:16:51.806277 46001 1650 295 False
2019-06-18 11:16:52.385339 46001 1650 295 False
2019-06-18 11:16:53.410351 46001 1650 295 False
2019-06-18 11:17:23.430837 46001 1650 296 False
2019-06-18 11:17:24.622014 46001 1650 296 False
2019-06-18 11:17:25.510814 46001 1650 296 False
2019-06-18 11:17:44.667934 46001 1650 86 False
2019-06-18 11:17:54.189114 46001 1650 86 False
2019-06-18 11:17:54.212018 46001 1650 86 False
2019-06-18 11:33:48.172963 46001 1650 86 False
2019-06-18 11:33:48.251339 46001 375 305 False
2019-06-18 11:33:51.450003 46001 375 305 False
2019-06-18 11:33:51.484050 46001 375 305 False
2019-06-18 11:19:55.774069 46001 375 305 False
2019-06-18 11:19:55.826827 46001 375 305 True
