ts cid PCI last_cid EARFCN last_freq sib5_freq in_sib5_freq_get_qmin in_sib5_freq_get_threshq sib3 in_sib3_freq_get_threshq sib3_priority priority op TAC tac cid_256 qual_high qual_low highest_pri higher_serv
2019-06-30 12:13:01.865854 112930057 PCI 9 EARFCN 38098 40936 None None sib3 True 6 None None TAC 28699 441133 [-666, -666] False False
2019-06-30 12:13:03.100028 112930063 PCI 9 EARFCN 40936 37900 None None sib3 True 6 None None TAC 28699 441133 [-666, -666] False False
2019-06-30 12:13:04.721860 112930060 PCI 9 EARFCN 37900 38098 None None sib3 True 6 None None TAC 28699 441133 [-666, -666] False False
2019-06-30 12:13:06.768261 112930055 PCI 7 EARFCN 38098 40936 None None sib3 True 6 None None TAC 28699 441133 [-666, -666] False False
2019-06-30 12:13:08.193981 112930063 PCI 9 EARFCN 40936 37900 None None sib3 True 6 None None TAC 28699 441133 [-666, -666] False False
2019-06-30 12:13:09.935903 112930060 PCI 9 EARFCN 37900 38098 None None sib3 True 6 None None TAC 28699 441133 [-666, -666] False False
2019-06-30 12:13:11.863213 112930055 PCI 7 EARFCN 38098 40936 None None sib3 True 6 None None TAC 28699 441133 [-666, -666] False False
2019-06-30 12:13:16.001445 112930055 PCI 7 EARFCN 38098 40936 None None sib3 True 6 None None TAC 28699 441133 [-666, -666] False False
2019-06-30 12:09:26.542067 113044232 PCI 493 EARFCN 37900 38098 None None sib3 True 6 None None TAC 28699 441579 [-666, -666] False False
2019-06-30 12:09:40.571442 113044232 PCI 493 EARFCN 37900 38098 None None sib3 True 6 None None TAC 28699 441579 [-666, -666] False False
2019-06-30 12:09:45.375320 113044232 PCI 493 EARFCN 37900 38098 None None sib3 True 6 None None TAC 28699 441579 [-666, -666] False False
2019-06-30 12:09:53.268294 113044232 PCI 493 EARFCN 37900 38098 None None sib3 True 6 None None TAC 28699 441579 [-666, -666] False False
2020-01-02 11:02:11.740848 129682563 PCI 18 EARFCN 38950 41134 None None sib3 True 5 None None TAC 4121 506572 [-666, -666] False False
2020-01-02 10:41:30.549020 21654798 PCI 252 EARFCN 39148 38950 None None sib3 True 5 None None TAC 4192 84589 [-666, -666] False False
2020-01-02 10:41:33.477056 21654788 PCI 252 EARFCN 38950 40936 None None sib3 True 5 None None TAC 4192 84589 [-666, -666] False False
2020-01-02 10:42:39.084143 228326090 PCI 97 EARFCN 38950 41134 None None sib3 True 7 None None TAC 4192 891898 [-666, -666] False False
2020-01-02 10:59:17.715782 126409860 PCI 295 EARFCN 1350 41134 None None sib3 True 4 None None TAC 4566 493788 [-666, -666] False False
2020-01-02 10:59:28.017960 129682573 PCI 18 EARFCN 39148 38950 None None sib3 True 5 None None TAC 4121 506572 [-666, -666] False False
2020-01-02 10:59:31.205364 129682563 PCI 18 EARFCN 38950 40936 None None sib3 True 5 None None TAC 4121 506572 [-666, -666] False False
2020-01-02 10:33:19.685128 25449686 PCI 175 EARFCN 39148 38950 None None sib3 True 5 None None TAC 4192 99412 [-666, -666] False False
2020-01-02 10:39:36.108956 21654787 PCI 251 EARFCN 38950 39148 None None sib3 True 5 None None TAC 4192 84589 [-666, -666] False False
2020-01-02 10:58:47.044050 5133619 PCI 114 EARFCN 1350 41134 None None sib3 True 4 None None TAC 4566 20053 [-666, -666] False False
2020-01-02 10:46:14.800723 228326090 PCI 97 EARFCN 38950 1350 None None sib3 True 7 None None TAC 4192 891898 [-666, -666] False False
