ts cid PCI last_cid EARFCN last_freq sib5_freq in_sib5_freq_get_qmin in_sib5_freq_get_threshq sib3 in_sib3_freq_get_threshq sib3_priority priority op TAC tac cid_256 qual_high qual_low highest_pri higher_serv
2019-10-19 11:27:58.538102 54234889 PCI 432 EARFCN 675 2200 None None sib3 True 4 None ATT TAC 16669 211855 [-666, -666] False False
2019-10-19 11:28:29.635067 54234904 PCI 212 EARFCN 2200 675 None None sib3 True 4 None ATT TAC 16669 211855 [-666, -666] False False
2019-10-19 11:59:18.936884 53821705 PCI 43 EARFCN 675 5110 None None sib3 True 4 None ATT TAC 16669 210241 [-666, -666] False False
2019-10-19 12:00:13.209066 54203408 PCI 206 EARFCN 5110 675 None None sib3 True 2 None ATT TAC 16669 211732 [-666, -666] False False
2019-10-19 11:48:37.335760 54233880 PCI 410 EARFCN 2200 9820 None None sib3 True 4 None ATT TAC 16669 211851 [-666, -666] False False
2019-09-13 00:35:30.581551 48905993 PCI 172 EARFCN 850 5145 None None sib3 True 4 None ATT TAC 19980 191039 [-666, -666] False False
2019-09-13 00:06:22.465410 49414352 PCI 411 EARFCN 1150 850 None None sib3 True 4 None ATT TAC 19980 193024 [-666, -666] False False
2019-09-13 00:12:49.445616 49409545 PCI 175 EARFCN 850 2000 None None sib3 True 4 None ATT TAC 19980 193006 [-666, -666] False False
2019-09-12 23:57:09.750877 49414152 PCI 465 EARFCN 850 1150 None None sib3 True 4 None ATT TAC 19980 193024 [-666, -666] False False
2019-09-13 00:24:49.215501 48898242 PCI 316 EARFCN 66961 2175 None None sib3 True 4 None ATT TAC 19980 191008 [-666, -666] False False
2019-09-13 00:18:49.058779 48907230 PCI 180 EARFCN 2175 1150 None None sib3 True 4 None ATT TAC 19980 191043 [-666, -666] False False
2019-09-13 00:19:03.389514 49414352 PCI 411 EARFCN 1150 2000 None None sib3 True 4 None ATT TAC 19980 193024 [-666, -666] False False
2019-09-13 00:19:32.996452 48897175 PCI 62 EARFCN 9820 2000 None None sib3 True 4 None ATT TAC 19980 191004 [-666, -666] False False
2019-09-13 00:19:47.605252 48899350 PCI 21 EARFCN 2000 2425 None None sib3 True 4 None ATT TAC 19980 191013 [-666, -666] False False
2019-09-13 00:01:36.065466 49409034 PCI 179 EARFCN 850 2000 None None sib3 True 4 None ATT TAC 19980 193004 [-666, -666] False False
2019-09-13 00:26:25.908116 48905993 PCI 172 EARFCN 850 5145 None None sib3 True 4 None ATT TAC 19980 191039 [-666, -666] False False
2019-12-12 22:10:28.373948 49409759 PCI 427 EARFCN 66661 2175 None None sib3 True 4 None ATT TAC 19980 193006 [-666, -666] False False
2019-12-12 22:10:38.660409 49942296 PCI 104 EARFCN 66486 850 None None sib3 True 4 None ATT TAC 19980 195087 [-666, -666] False False
