carrier,serving_cellset,count
311480,66586-366,5
311480,66586-366/1000-366,5
311480,66586-366/1000-366/2585-366,4
311480,66586-368/1000-366/2585-366,6
311480,66586-368,5
311480,66586-368/1000-368,5
311480,66586-368/1000-368/2585-368,4
311480,66586-171/1000-368/2585-368,1
311480,66586-171/5230-171,2
311480,66586-113/5230-171,2
311480,66586-113,1
311480,66586-113/65535-113,1
311480,66586-113/65535-113/1000-113,1
311480,66586-118/65535-113/1000-113,4
311480,66586-118,1
311480,66586-118/2585-118,1
311480,66586-118/2585-118/1000-118,1
311480,66586-118/1000-118,1
311480,66586-118/1000-118/5230-118,1
311480,66586-366/1000-118/5230-118,2
311480,66586-366/1000-366/5230-366,1
311480,66586-294/1000-366/5230-366,15
311480,66586-294,1
311480,66586-294/5230-294,1
311480,66586-145/5230-294,3
311480,66586-145,13
311480,66586-145/5230-145,1
311480,66586-186,14
311480,66586-109,11
311480,66586-277,14
311480,66586-277/1000-277,6
311480,66586-110/1000-277,2
311480,66586-110,2
311480,66586-278/1000-277,2
311480,66586-278,1
311480,66586-278/1000-278,1
311480,1000-278/1000-278,1
311480,1000-278/65535-278,14
311480,1000-278,17
311480,1000-117,6
311480,1000-117/65535-117,6
311480,1000-250/65535-117,3
311480,1000-250,39
311480,1000-250/65535-250,42
311480,1000-117/65535-250,33
311480,1000-278/65535-117,2
311480,1000-140,133
311480,1000-140/65535-140,129
311480,1000-140/65535-117,18
311480,1000-278/65535-140,12
311480,1000-277/65535-278,1
311480,1000-277,7
311480,1000-277/65535-277,4
311480,1000-140/65535-277,3
311480,66586-109/65535-140,1
311480,66586-73/65535-140,3
311480,66586-73/65535-73,9
311480,66586-73/65535-73/1000-73,9
311480,66586-74/65535-73/1000-73,6
311480,66586-74,7
311480,66586-74/65535-74,7
311480,66586-74/65535-74/1000-74,7
311480,66586-277/65535-74/1000-74,3
311480,1000-250/1000-277,1
311480,1000-72/65535-250,14
311480,1000-72/65535-72,15
311480,1000-72/65535-72/65535-72,11
311480,1000-72,15
311480,66586-427,3
311480,66586-257,25
311480,66586-257/1000-257,6
311480,1000-78,7
311480,1000-242,21
311480,1000-242/65535-242,12
311480,1000-240/65535-242,12
311480,1000-240,8
311480,1000-240/65535-240,8
311480,1000-98/65535-240,17
311480,1000-98,27
311480,1000-98/65535-98,17
311480,1000-98/65535-98/65535-98,6
311480,1000-89/65535-98/65535-98,6
311480,1000-89,8
311480,1000-89/65535-89,8
311480,1000-88/65535-89,7
311480,1000-88,10
311480,1000-88/65535-88,9
311480,1000-97/65535-88,8
311480,1000-97,4
311480,1000-97/65535-97,4
311480,1000-97/65535-97/65535-97,3
311480,1000-380/65535-97/65535-97,4
311480,1000-380,4
311480,1000-380/65535-380,4
311480,1000-29/65535-380,4
311480,1000-29,3
311480,1000-29/65535-29,3
311480,1000-29/65535-29/65535-29,3
311480,1000-378/65535-29/65535-29,4
311480,1000-378,8
311480,1000-378/65535-378,9
311480,1000-28/65535-378,4
311480,1000-28/65535-28,4
311480,1000-28/65535-28/65535-28,4
311480,1000-170/65535-28/65535-28,2
311480,1000-170,3
311480,1000-170/65535-170,4
311480,1000-169/65535-170,1
311480,1000-169,2
311480,1000-169/65535-169,2
311480,1000-309/65535-169,5
311480,1000-309,7
311480,1000-309/65535-309,7
