carrier,serving_cellset,count
310260,1200-453,230
310260,1200-453/126270-382,147
310260,1200-453/126270-53,2
310260,1200-453/126270-708,11
310260,1200-453/520110-880,11
310260,1200-453/520110-547,86
310260,1200-453/126270-382/1003-339,16
310260,126270-700,3
310260,126270-382,2
310260,129870-9,1
310260,1003-248,127
310260,1003-248/520110-880,61
310260,1003-248/520110-522,12
310260,1003-248/66736-68,76
310260,1003-248/126270-700/66736-68,18
310260,1003-248/126270-798,2
310260,1200-134,66
310260,1200-134/520110-531,145
310260,1200-134/520110-547,110
310260,1200-134/520110-547/1003-233,116
310260,1200-134/520110-531/1003-233,165
310260,1200-134/1003-233,48
310260,66736-453/520110-547,1
310260,1200-453/126270-700,57
310260,1200-453/1003-339,62
310260,1200-453/126270-700/1003-339,8
310260,66736-453/126270-700,4
310260,66736-134/126270-382,2
310260,1200-134/126270-382,4
310260,1200-134/126270-711/1003-233/67011-215,1
310260,66736-453/126270-711,1
310260,1200-453/126270-711,1
310260,1200-453/520110-531/1003-339,12
310260,1200-453/520110-209/1003-339,6
310260,1200-16,21
310260,1200-16/520110-531,55
310260,1200-16/520110-135,9
310260,1200-16/520110-57,15
310260,1200-16/520110-209,7
310260,1200-16/520110-547,18
310260,66736-453/520110-531,5
310260,1200-453/520110-531,76
310260,1200-453/520110-209,12
310260,1200-453/520110-57,5
310260,1200-16/520110-344,1
310260,66736-68/520110-531,5
310260,1200-68/520110-531,81
310260,1200-68,107
310260,1200-68/520110-209/1003-248,14
310260,1200-68/520110-531/1003-248,84
310260,1200-68/520110-344/1003-248,10
310260,1200-68/520110-880/1003-248,130
310260,1200-68/520110-547/1003-248,124
310260,1200-68/520110-880,45
310260,1200-68/520110-522,8
310260,1200-68/1003-248,81
310260,1200-68/126270-700/1003-248,32
310260,66736-68/126270-700,5
310260,1200-68/126270-700,32
310260,1200-68/126270-708,9
310260,66736-134/126270-708,2
310260,1200-134/126270-708,2
310260,1200-134/520110-531/68661-299,17
310260,1200-134/520110-547/68661-299,7
310260,1200-134/68661-299,6
310260,1200-134/520110-680,15
310260,1200-134/520110-680/1003-233/67011-215/68661-299,10
310260,1200-134/520110-335/1003-233/67011-215/68661-299,9
310260,1200-134/1003-233/67011-215/68661-299,1
310260,1200-134/520110-335/1003-233,35
310260,1200-134/520110-680/1003-233,40
310260,1200-134/520110-335/1003-233/68661-299,21
310260,1200-134/520110-680/1003-233/68661-299,20
310260,1200-134/1003-233/68661-299,2
310260,1200-134/520110-209/68661-299,1
310260,1200-134/520110-335/67011-215,23
310260,1200-134/520110-680/67011-215,25
310260,1200-134/67011-215,7
310260,1200-134/520110-57/1003-233,15
310260,66736-453/520110-57,1
310260,1200-453/520110-335,45
310260,1200-453/520110-680,41
310260,1200-453/520110-663,18
310260,1200-68/126270-452,6
310260,1200-68/126270-359,1
310260,1200-68/520110-547,92
310260,1003-248/520110-531,74
310260,1003-248/520110-547,104
310260,1475-215,16
310260,1475-215/520110-531,56
310260,1475-215/520110-547,52
310260,1475-215/520110-547/1003-233,21
310260,1475-215/520110-531/1003-233,20
310260,1475-215/1003-233,3
310260,66736-134/520110-531,3
310260,66736-453,11
310260,1200-453/126270-71,25
310260,66736-453/126270-382,4
310260,1200-453/520110-744,1
310260,1200-453/520110-335/1003-339,17
310260,66736-22/520110-209,1
310260,1200-22/520110-209,28
310260,1200-22,83
310260,1200-22/126270-382,1
310260,1200-22/520110-531,145
310260,1200-22/520110-135,87
310260,67011-322/520110-531/66736-22/1003-103,2
310260,1475-322/520110-531,28
310260,1475-322/520110-209/1003-103,5
310260,1475-322/1003-103,12
310260,1475-322/520110-135/1003-103,81
310260,1475-322/520110-531/1003-103,84
310260,1475-322/520110-547/1003-103,6
310260,67011-215/520110-531,1
310260,1475-215/520110-680,23
310260,1475-215/520110-335,20
310260,67011-137/520110-680,1
310260,1475-137/520110-680,1
310260,1475-137,6
310260,1475-137/520110-531/1003-29,1
