carrier,serving_cellset,count
310410,850-447,201
310410,850-447/5145-15,762
310410,850-192,15
310410,850-192/5145-399,15
310410,850-192/5145-399/9820-76,14
310410,5145-401/5145-399,1
310410,5145-401,42
310410,5145-401/2175-284,6
310410,5145-401/2175-284/2000-23,3
310410,5145-401/2000-23,63
310410,850-192/2000-23,1
310410,850-192/2425-417,5
310410,850-192/2425-417/2175-282,4
310410,850-70/2425-417/2175-282,1
310410,850-70,32
310410,850-70/5145-466,11
310410,850-70/5145-466/9820-52,7
310410,850-70/2425-226,25
310410,850-70/2425-226/2000-154,12
310410,850-366/2425-226/2000-154,2
310410,850-366,5
310410,850-366/5145-387,4
310410,5145-387/5145-387,8
310410,5145-387,50
310410,5145-387/850-366,18
310410,5145-387/2175-234,16
310410,5145-387/2000-231,14
310410,66486-27,1
310410,66486-28,1
310410,2000-70,81
310410,2000-70/2425-103,16
310410,2000-70/2425-103/850-197,8
310410,2000-365/2425-103/850-197,1
310410,2000-365,24
310410,2000-365/2425-104,22
310410,2000-365/2425-104/850-96,1
310410,9820-47/2425-104/850-96,2
310410,9820-47,30
310410,9820-47/2175-396,10
310410,9820-47/2175-396/5145-449,7
310410,9820-47/2425-104,11
310410,5145-267/2425-104,1
310410,5145-267,14
310410,5145-267/2000-222,7
310410,5145-267/850-393,1
310410,5145-253,118
310410,5145-253/2000-52,84
310410,5145-253/2000-52/2175-55,60
310410,5145-253/2175-55,51
310410,2000-48,16
310410,2000-48/5145-290,12
310410,2000-48/5145-290/2175-48,11
310410,2000-222/5145-290/2175-48,4
310410,2000-222,27
310410,2000-222/5145-267,2
310410,2000-222/5145-267/9820-66,1
310410,5145-253/2175-55/2000-52,17
310410,5145-449/2000-222,15
310410,5145-449,153
310410,5145-449/2000-365,52
310410,5145-449/2000-365/2175-396,50
310410,5145-449/850-96,5
310410,5145-290/850-96,4
310410,5145-290,20
310410,5145-290/2175-48,9
310410,5145-290/2175-48/2000-48,6
310410,5145-253/2175-48/2000-48,1
310410,5145-449/2175-396,62
310410,5145-253/850-96,5
310410,850-197,41
310410,850-197/5145-448,6
310410,850-197/5145-448/9820-46,3
310410,5145-406,15
310410,5145-406/2000-28,24
310410,2000-28/2000-28,10
310410,2000-28,15
310410,2000-28/5145-406,11
310410,2000-27/5145-406,7
310410,2000-27,15
310410,2000-27/5145-405,16
310410,5145-387/5145-405,3
310410,5145-387/2175-234/2000-231,3
310410,5145-331,88
310410,5145-331/850-179,57
