carrier,freq,cid,count
310410,850,447,1719
310410,5145,15,2253
310410,850,192,40
310410,5145,399,176
310410,9820,76,56
310410,850,399,3
310410,9820,399,12
310410,5145,401,249
310410,2175,284,123
310410,2000,23,235
310410,2000,284,3
310410,5145,284,22
310410,5145,23,22
310410,2425,417,131
310410,2175,282,152
310410,850,1,592
310410,850,70,130
310410,5145,466,89
310410,9820,52,20
310410,9820,466,8
310410,2425,226,157
310410,850,226,17
310410,2000,154,57
310410,850,366,52
310410,2000,226,55
310410,5145,387,68
310410,850,387,37
310410,2175,234,51
310410,2000,231,57
310410,66486,27,1
310410,66486,28,4
310410,65535,28,2
310410,2000,70,308
310410,2425,103,107
310410,850,197,279
310410,850,103,32
310410,2000,365,299
310410,2425,104,305
310410,850,96,22
310410,850,104,56
310410,9820,47,92
310410,2175,396,286
310410,5145,449,372
310410,5145,396,42
310410,2425,1,29
310410,5145,267,31
310410,2000,222,151
310410,850,393,99
310410,5145,253,251
310410,2000,52,388
310410,2175,55,247
310410,2175,52,70
310410,2000,48,57
310410,5145,290,158
310410,2175,48,54
310410,2175,290,29
310410,2000,290,14
310410,9820,66,32
310410,9820,267,1
310410,2000,267,5
310410,2000,55,30
310410,5145,222,13
310410,2175,365,43
310410,5145,96,4
310410,5145,448,475
310410,9820,46,119
310410,9820,448,26
310410,5145,406,40
310410,2000,28,47
310410,2000,27,75
310410,5145,405,66
310410,2000,405,32
310410,2000,234,9
310410,5145,331,290
310410,850,179,268
310410,1150,152,79
310410,66736,178,2
310410,66661,274,1
310410,65535,274,8
310410,2000,42,643
310410,2425,70,271
310410,850,411,1325
310410,1150,411,1001
310410,1150,70,31
310410,2425,419,165
310410,850,401,39
310410,850,419,41
310410,2175,419,25
310410,9820,78,39
310410,2175,102,221
310410,2000,102,284
310410,2000,15,65
310410,2175,15,79
310410,2175,329,1415
310410,5145,422,1968
310410,2000,44,1743
310410,2000,422,13
310410,2175,422,25
310410,850,398,571
310410,2425,363,3870
310410,2000,363,199
310410,2175,363,148
310410,9820,59,1412
310410,9820,1,104
310410,9820,422,145
310410,2175,1,216
310410,2175,36,25
310410,5145,98,11
310410,5145,91,8
310410,675,91,20
